太 差 还 非常 老 新	n
极其 差 都 不 竟然 更 差 竟然 都 不敢	n
还 不错 都 比较 方便 不 比较 差 一觉 再	n
简陋 自然通风 不好 少 特贵 原来 明明白白 却 才 好不容易 太 大	n
都 原封不动 长途电话 竟然 坏 还 难道 醒来时 近 才 少 很 差 不领情 不 不 再也 可耻 坏 太 凑巧 好 不 很	n
好 不 打电话	n
不 仍然 不 好	n
很 差	n
好 竟然 满 太 不 再也不会	n
非常 差 还 不 不 舒服	n
方便 差 慢 还 互相 远远 不足 差 都 只 更 居然 才 都 反正 不在乎	n
还 相当 不 居然 都	n
最 难熬 竟然 不 真是 闻所未闻 不 不 不 只 尽快	n
最 难熬 竟然 不 真是 闻所未闻 不 不 不 只 尽快	n
简陋 自然通风 不好 少 特贵 原来 明明白白 却 才 好不容易 太 大	n
尚可 很 近 太 差 很 差 都 差 太远 卫生 整洁 还	n
比较 近 比较 近 很 好 完全 不 尚可 脏乱差 正常 不 很 差 周围环境	n
喋喋不休 不 大 大概 快 便宜 黑压压 黑乎乎 小 黑乎乎 均 知不知道 只好 坐车去 顺便 特别 已经 好 只好 再 不错 挺 干净 便宜	n
少 不 高 最 都 根本 干净 恐怕 更 不错	n
都 永远 再 已 都 老 少 悲哀 闻名于世	n
还 比较 大 不好 各位朋友	n
无奈	n
无奈	n
方便 老 简陋 不 高 随便	n
已经 很 才 爬起来 非常 简陋 非常 大 才 仔细 差远了 差 根本 对不起 最多	n
冷 很 潮	n
真的 比较 差 特别 浓烈 久久 简易 特别 小 洗头发 好 竟然 已经 都 都 无法忍受 无所谓 只 不 很脏 立刻	n
肮脏 薄 不 轻重 永远 极热 极冷 不 方便 比较 都 不 糟糕透顶	n
肮脏 薄 不 轻重 永远 极热 极冷 不 方便 比较 都 不 糟糕透顶	n
居然 非常 感谢您 均 明显 诚挚 尽量	n
都 都 不 都 明显 买回来 很 幸亏 还 很 高 高	n
居然 非常 感谢您 均 明显 诚挚 尽量	n
都 都 不 都 明显 买回来 很 幸亏 还 很 高 高	n
很	n
差 太 差 不仅仅 旧 小 小 很大 几乎 太慢 比不上 居然 直接	n
比较 差 昏暗 都 浓浓的 摸上去 不 很 干净 更 发霉 最 恼人 难以	n
不怎么样 特别 冷 根本 手脚冰凉 打电话 最 没听说过 必须 不 却 已经 不 不在乎 真的 很 好 反正 好 遗憾 不好 远 近	n
不 真的 慢 出奇 很 好 太 最 相对 置之不理 才 都 小 还 真的	n
比较 偏 不 方便 非常 特别 不 太 直接 发传真 比较烦 太 通常 直接 重大 高 太 差 不 较差 冷 有好 有效 较差 大	n
比较 偏 不 方便 非常 特别 不 太 直接 发传真 比较烦 太 通常 直接 重大 高 太 差 不 较差 冷 有好 有效 较差 大	n
冷淡 闷热 设备陈旧 吃了饭 已 还 不 物不所值	n
有生以来 血迹斑斑 非常 恐怖	n
尽量 差 反正	n
正确 最 重要 非常 差 非常 不 当然 无所谓	n
最烂 居然 非常 特别 简直 先 接触不良 不好 太慢 特别 完全 不 白天黑夜 到处 简直 不得了 不用说 有时候 好不容易 都 每一寸 真不知道 其实 刚刚 才 打电话 可乐 鲜橙多 还 不错 才 只 可乐 鲜橙多 只 都 不 必须 非常 不 舒服 从来 都 马上 还 真是	n
最烂 居然 非常 特别 简直 先 接触不良 不好 太慢 特别 完全 不 白天黑夜 到处 简直 不得了 不用说 有时候 好不容易 都 每一寸 真不知道 其实 刚刚 才 打电话 可乐 鲜橙多 还 不错 才 只 可乐 鲜橙多 只 都 不 必须 非常 不 舒服 从来 都 马上 还 真是	n
懒 新 方便 太 不快 正门 坐车去 豪华 豪华 窄 紧靠 大 还 都 不同 再 比较 居然 比较 比较 怕热 非常 干燥 居然 才 都 全 不 长 无所谓	n
绝对 算不上 太 差	n
蛮 近 大约 正赶上 一扇门 特别 不好 亲热	n
不错 不 尽如人意 差不多 不 高	n
相当 烂 不 极 不 自以为是 狂妄自大 肆意 根本 没 放在眼里	n
太 差 竟然 长期 才 硬 好好 才 特此	n
已经 越来越 差 到的 大约 还 顺利 都 不 才 方便 先 都 很 不 火冒三丈 真是 宾至如归 完全 终归 到底 再 高度重视 长 充分 尽管如此 仍 虚心接受 变通处理 再次 欢迎您	n
还 不怎么样 很 居然 一边 高 一边 低 不	n
没想到 乱糟糟 更加 不 还 都 马路上 更是 难以忍受 还 最	n
太 差 竟然 长期 才 硬 好好 才 特此	n
已经 越来越 差 到的 大约 还 顺利 都 不 才 方便 先 都 很 不 火冒三丈 真是 宾至如归 完全 终归 到底 再 高度重视 长 充分 尽管如此 仍 虚心接受 变通处理 再次 欢迎您	n
还 不怎么样 很 居然 一边 高 一边 低 不	n
直接 故意 坚决 再也	n
没想到 乱糟糟 更加 不 还 都 马路上 更是 难以忍受 还 最	n
不 最 比较 都 都 都 还 打电话 都 还 郁闷	n
不 最 比较 都 都 都 还 打电话 都 还 郁闷	n
不 诚恳 贵 其实 实话实说 不好	n
不 很小 明显 不好 傻傻的 不 不 还 第一印象 当然 很 打电话 根本 不 确实 太 不 方便 感谢您 重新 尽量 真心 再次 更趋	n
刚 很 好 刚 都 不怎么 干净 还 很 冷淡 最大 很闷 还 还 才 真的 很 最好 好	n
很 差 不 都	n
仅限于	n
不 经常 好 闹中取静 好 才 挺 高 都 强烈建议	n
太 差 脏 最 不好 决不	n
严重 居然	n
大概 才 十 脏	n
竟 不以为然 竟 长 大跌眼镜	n
坏 还 再 只 老大 完全	n
很小 很小 不 舒服	n
只好 别无选择 不错 较差 简陋 不 不 刚 少见多怪	n
都	n
只好 别无选择 不错 较差 简陋 不 不 刚 少见多怪	n
都	n
平遥 差 少 长期 还 不 只 必须 低劣 强烈推荐 飞来横祸 不 疯狂 竟 才 高速 平遥 更 平遥 无可奈何	n
平遥 差 少 长期 还 不 只 必须 低劣 强烈推荐 飞来横祸 不 疯狂 竟 才 高速 平遥 更 平遥 无可奈何	n
非常 很脏 极度 不爽 便宜 好 大 再 名不副实 非常 感谢您 对此 非常重视 特意 紧急会议 较脏 确实 已 已 明显 届时	n
